,user_id,Page
69055,440896,Course_Preview_Page
17035,809070,Course_Preview_Page
47841,933391,Course_Preview_Page
11616,787805,Course_Preview_Page
22850,961247,Course_Preview_Page
62240,700651,Course_Preview_Page
28965,362580,Course_Preview_Page
74414,216047,Course_Preview_Page
12447,849492,Course_Preview_Page
16403,541,Course_Preview_Page
26531,237045,Course_Preview_Page
42081,750490,Course_Preview_Page
55285,305504,Course_Preview_Page
2047,980251,Course_Preview_Page
22477,560098,Course_Preview_Page
14762,119726,Course_Preview_Page
44794,225621,Course_Preview_Page
20299,172335,Course_Preview_Page
39024,155126,Course_Preview_Page
6973,266123,Course_Preview_Page
90302,260531,Course_Preview_Page
29130,769671,Course_Preview_Page
65816,427960,Course_Preview_Page
3957,599741,Course_Preview_Page
7454,127577,Course_Preview_Page
27359,896926,Course_Preview_Page
80812,583512,Course_Preview_Page
17155,149584,Course_Preview_Page
49690,882306,Course_Preview_Page
5041,80026,Course_Preview_Page
48571,146554,Course_Preview_Page
76901,209115,Course_Preview_Page
29667,472018,Course_Preview_Page
87548,409996,Course_Preview_Page
76884,40820,Course_Preview_Page
86449,532850,Course_Preview_Page
78625,161845,Course_Preview_Page
75184,308381,Course_Preview_Page
4911,492098,Course_Preview_Page
53212,706370,Course_Preview_Page
42130,835758,Course_Preview_Page
6498,497592,Course_Preview_Page
70110,344349,Course_Preview_Page
67732,132480,Course_Preview_Page
25803,776252,Course_Preview_Page
4440,187967,Course_Preview_Page
13505,24722,Course_Preview_Page
2445,28,Course_Preview_Page
54915,287247,Course_Preview_Page
17262,792800,Course_Preview_Page
5775,161558,Course_Preview_Page
23721,972493,Course_Preview_Page
77311,574191,Course_Preview_Page
67809,840238,Course_Preview_Page
3609,938812,Course_Preview_Page
45816,339653,Course_Preview_Page
14846,171976,Course_Preview_Page
28739,512612,Course_Preview_Page
27240,230041,Course_Preview_Page
1967,369598,Course_Preview_Page
82359,796344,Course_Preview_Page
77563,351990,Course_Preview_Page
43972,679882,Course_Preview_Page
61384,777090,Course_Preview_Page
14801,285448,Course_Preview_Page
8339,897535,Course_Preview_Page
83119,899533,Course_Preview_Page
17656,822741,Course_Preview_Page
43688,774113,Course_Preview_Page
82376,279510,Course_Preview_Page
12788,603595,Course_Preview_Page
57934,929890,Course_Preview_Page
68039,881360,Course_Preview_Page
14741,234128,Course_Preview_Page
39558,920986,Course_Preview_Page
43602,210311,Course_Preview_Page
1993,371607,Course_Preview_Page
78631,73429,Course_Preview_Page
74336,844026,Course_Preview_Page
26488,554734,Course_Preview_Page
49952,470792,Course_Preview_Page
5407,847614,Course_Preview_Page
10414,788315,Course_Preview_Page
47504,36417,Course_Preview_Page
19732,67535,Course_Preview_Page
81824,453650,Course_Preview_Page
62352,38489,Course_Preview_Page
3806,76401,Course_Preview_Page
15717,10747,Course_Preview_Page
40029,308317,Course_Preview_Page
46232,762106,Course_Preview_Page
43006,555560,Course_Preview_Page
49559,350558,Course_Preview_Page
4182,682694,Course_Preview_Page
83112,490822,Course_Preview_Page
56124,847910,Course_Preview_Page
42426,448705,Course_Preview_Page
15241,732600,Course_Preview_Page
41697,744446,Course_Preview_Page
14453,59664,Course_Preview_Page
82115,478214,Course_Preview_Page
18158,190110,Course_Preview_Page
27303,338524,Course_Preview_Page
17083,971212,Course_Preview_Page
77621,97385,Course_Preview_Page
63348,270985,Course_Preview_Page
77934,560359,Course_Preview_Page
8908,738577,Course_Preview_Page
40959,777726,Course_Preview_Page
79110,586431,Course_Preview_Page
71471,179745,Course_Preview_Page
89093,611000,Course_Preview_Page
31256,739972,Course_Preview_Page
58331,981846,Course_Preview_Page
15721,35623,Course_Preview_Page
5003,840041,Course_Preview_Page
45803,846451,Course_Preview_Page
22519,364882,Course_Preview_Page
39444,911602,Course_Preview_Page
45105,606451,Course_Preview_Page
42384,857778,Course_Preview_Page
43002,22288,Course_Preview_Page
75933,151812,Course_Preview_Page
40145,465680,Course_Preview_Page
82906,640466,Course_Preview_Page
