,user_id,Page
1675,44667,Sign-up
56589,967818,Sign-up
50276,196516,Sign-up
28200,438930,Sign-up
6248,122944,Sign-up
59028,924411,Sign-up
27762,13452,Sign-up
68076,992193,Sign-up
31868,379003,Sign-up
72712,927029,Sign-up
73176,839679,Sign-up
35675,523188,Sign-up
85183,62756,Sign-up
21827,865443,Sign-up
4005,332572,Sign-up
86350,360071,Sign-up
4451,916777,Sign-up
89026,800146,Sign-up
45034,977013,Sign-up
44567,966726,Sign-up
15774,351129,Sign-up
51655,919380,Sign-up
73940,392471,Sign-up
51290,533935,Sign-up
81112,917509,Sign-up
20278,377816,Sign-up
89876,989653,Sign-up
62472,7187,Sign-up
26371,224222,Sign-up
5332,440823,Sign-up
20037,45614,Sign-up
82382,569573,Sign-up
21508,631294,Sign-up
89326,30676,Sign-up
71470,882665,Sign-up
25441,462067,Sign-up
83618,97207,Sign-up
51387,479631,Sign-up
38277,9985,Sign-up
19388,894726,Sign-up
70136,322012,Sign-up
54129,360925,Sign-up
4452,750724,Sign-up
37583,936683,Sign-up
42084,109278,Sign-up
66044,404592,Sign-up
45529,317361,Sign-up
42647,92283,Sign-up
77683,918193,Sign-up
59194,714423,Sign-up
43126,344235,Sign-up
2087,959047,Sign-up
31319,385198,Sign-up
75875,340073,Sign-up
69730,115514,Sign-up
54255,387265,Sign-up
62198,145527,Sign-up
55227,541842,Sign-up
61655,246767,Sign-up
89540,946913,Sign-up
28868,410077,Sign-up
921,7290,Sign-up
65892,880866,Sign-up
23679,354553,Sign-up
44517,264301,Sign-up
75445,989079,Sign-up
63785,275569,Sign-up
73991,301417,Sign-up
53659,227716,Sign-up
76584,506046,Sign-up
16976,426270,Sign-up
67702,385698,Sign-up
8822,959416,Sign-up
68200,197183,Sign-up
9374,305754,Sign-up
70568,865736,Sign-up
11359,475817,Sign-up
32964,657560,Sign-up
9679,529729,Sign-up
34856,142771,Sign-up
16765,469691,Sign-up
81777,222917,Sign-up
10601,846465,Sign-up
15519,321795,Sign-up
38483,54324,Sign-up
60877,367938,Sign-up
89257,451521,Sign-up
1118,576472,Sign-up
29916,697508,Sign-up
71928,632101,Sign-up
28347,27213,Sign-up
20484,761166,Sign-up
63945,853319,Sign-up
64923,381669,Sign-up
4278,394197,Sign-up
41895,773884,Sign-up
40842,557463,Sign-up
10814,838916,Sign-up
41734,654923,Sign-up
22322,704241,Sign-up
87666,182534,Sign-up
81071,928979,Sign-up
78901,293462,Sign-up
20437,570700,Sign-up
70510,480001,Sign-up
88855,140758,Sign-up
30994,215110,Sign-up
87229,176620,Sign-up
41974,323483,Sign-up
61992,680514,Sign-up
55145,175389,Sign-up
2937,774230,Sign-up
57818,479271,Sign-up
5989,982010,Sign-up
16950,586250,Sign-up
5227,129952,Sign-up
84427,813487,Sign-up
67935,84525,Sign-up
67046,273329,Sign-up
13683,712798,Sign-up
60899,166747,Sign-up
41932,491688,Sign-up
28796,556686,Sign-up
47982,437615,Sign-up
