,user_id,date,device,sex,user_type
0,450007,2015-02-28,Desktop,Female,New
1,756838,2015-01-13,Desktop,Male,New
2,568983,2015-04-09,Desktop,Male,Returning
3,190794,2015-02-18,Desktop,Female,New
4,537909,2015-01-15,Desktop,Male,Returning
5,993454,2015-03-03,Desktop,Male,Returning
6,377150,2015-04-15,Desktop,Female,Returning
7,137258,2015-01-27,Mobile,Male,Returning
8,608249,2015-04-12,Desktop,Female,New
9,615615,2015-02-24,Mobile,Female,Returning
10,96069,2015-04-13,Mobile,Female,New
11,664476,2015-02-13,Desktop,Female,New
12,236201,2015-03-14,Desktop,Male,New
13,796359,2015-04-02,Desktop,Male,New
14,592962,2015-04-25,Desktop,Male,New
15,971488,2015-02-27,Desktop,Female,New
16,610157,2015-02-11,Desktop,Female,Returning
17,561375,2015-04-11,Desktop,Female,New
18,624556,2015-01-25,Desktop,Male,Returning
19,443293,2015-03-19,Mobile,Male,New
20,435414,2015-03-11,Mobile,Female,Returning
21,969529,2015-04-14,Desktop,Female,Returning
22,830503,2015-01-21,Desktop,Female,New
23,184748,2015-02-18,Mobile,Male,New
24,68397,2015-04-02,Desktop,Male,Returning
25,682442,2015-04-03,Desktop,Male,New
26,62655,2015-01-30,Desktop,Female,New
27,159517,2015-03-25,Desktop,Male,New
28,78294,2015-04-19,Mobile,Female,Returning
29,504960,2015-03-08,Desktop,Female,Returning
30,449259,2015-02-15,Desktop,Male,New
31,976991,2015-04-24,Desktop,Male,Returning
32,639988,2015-04-03,Desktop,Female,Returning
33,668253,2015-02-05,Desktop,Male,Returning
34,838832,2015-03-08,Desktop,Female,New
35,126297,2015-01-01,Mobile,Male,Returning
36,700880,2015-01-07,Desktop,Male,New
37,606959,2015-02-21,Desktop,Female,New
38,252135,2015-03-10,Mobile,Male,New
39,886066,2015-01-10,Desktop,Male,New
40,283193,2015-02-12,Desktop,Male,New
41,527765,2015-03-13,Mobile,Male,New
42,265629,2015-04-27,Mobile,Male,New
43,469531,2015-04-20,Mobile,Male,Returning
44,632470,2015-03-06,Desktop,Male,New
45,142395,2015-02-21,Desktop,Female,New
46,948203,2015-03-03,Desktop,Female,New
47,601434,2015-02-03,Desktop,Male,New
48,429473,2015-02-28,Mobile,Female,New
49,291813,2015-03-28,Desktop,Female,New
50,378948,2015-03-06,Mobile,Male,New
51,220197,2015-01-14,Desktop,Female,New
52,245517,2015-02-23,Desktop,Female,New
53,594992,2015-04-18,Mobile,Male,Returning
54,231324,2015-02-22,Desktop,Female,New
55,107605,2015-03-04,Desktop,Female,Returning
56,870834,2015-02-11,Mobile,Male,New
57,604565,2015-04-03,Desktop,Female,New
58,984873,2015-04-04,Desktop,Female,New
59,623145,2015-04-04,Mobile,Male,Returning
60,457209,2015-01-07,Desktop,Female,New
61,13830,2015-02-05,Desktop,Male,Returning
62,716584,2015-03-15,Desktop,Male,New
63,434895,2015-01-07,Desktop,Female,New
64,471874,2015-02-17,Desktop,Male,Returning
65,838723,2015-02-19,Desktop,Male,Returning
66,731725,2015-03-26,Mobile,Male,New
67,25566,2015-04-12,Desktop,Male,New
68,566349,2015-02-27,Desktop,Female,New
69,880532,2015-04-10,Desktop,Male,New
70,574808,2015-02-19,Desktop,Female,New
71,418014,2015-02-22,Desktop,Female,New
72,205344,2015-01-27,Desktop,Female,New
73,176571,2015-01-03,Desktop,Female,New
74,41600,2015-02-21,Desktop,Female,Returning
